City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
259,Hargeysa,SO,70.57,light rain,9.56,44.065,City Center Hotel
261,Durban,ZA,71.92,moderate rain,-29.8579,31.0292,Hilton Durban
262,Bowen,AU,70.09,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
264,Kharan,PK,73.33,clear sky,28.5833,65.4167,Mansoor Hotel & Restaurant
265,Vanimo,PG,77.72,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
267,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
269,Mahajanga,MG,79.27,overcast clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
272,Dwarka,IN,80.64,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
273,Luanshya,ZM,70.66,overcast clouds,-13.1367,28.4166,CHOLWA GUEST HOUSE
277,Bilma,NE,73.62,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
279,Murici,BR,82.69,broken clouds,-9.3067,-35.9433,Espaço WA Abnoan
285,Port Moresby,PG,75.97,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
286,Matara,LK,76.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Le Port,RE,73.4,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
289,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
290,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
291,Sao Jose Da Coroa Grande,BR,80.85,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
298,Namatanai,PG,79.9,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
299,Sena Madureira,BR,91.06,scattered clouds,-9.0656,-68.6569,Hotel Central
300,Broome,US,70.2,clear sky,42.2506,-75.833,Chenango Valley State Park
305,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
307,Nouadhibou,MR,74.08,clear sky,20.931,-17.0347,El Medina
309,Mtwara,TZ,75.72,few clouds,-10.2667,40.1833,TIL Hotels Mtwara
310,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
312,Auki,SB,76.62,broken clouds,-8.7676,160.7034,Auki Motel
314,Howard Springs,AU,78.71,moderate rain,-12.497,131.047,buffalo beach hostel
315,Caravelas,BR,70.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
319,Juba,SS,70.9,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
320,Mpulungu,ZM,81.63,overcast clouds,-8.7623,31.1141,Chela moche guest house
321,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
323,Paraiso,CR,73.31,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
326,Azare,NG,81.36,scattered clouds,11.6765,10.1948,Mallam Ayuba Compound
327,Veraval,IN,80.11,clear sky,20.9,70.3667,Lords Inn Somnath
328,Mayo,US,72.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
329,Phalaborwa,ZA,76.19,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
331,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
334,Camargo,MX,80.62,clear sky,27.6667,-105.1667,Hotel Santa Fe
335,Rincon,US,78.76,scattered clouds,32.296,-81.2354,Days Inn Rincon
337,Rawson,AR,83.7,clear sky,-43.3002,-65.1023,Hosteria Sampedro
338,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
346,Souillac,MU,73.22,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
