City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
130,Leningradskiy,69.3833,178.4167,-3.46,92,100,8.52,RU,overcast clouds
131,Sitka,57.0531,-135.33,42.69,75,75,0.0,US,broken clouds
132,Upernavik,72.7868,-56.1549,19.65,52,80,9.53,GL,broken clouds
133,Marzuq,14.4,46.4667,68.72,74,0,4.79,YE,clear sky
134,Avarua,-21.2078,-159.775,77.05,69,75,12.66,CK,broken clouds
135,Manga,11.6636,-1.0731,84.83,22,100,6.06,BF,overcast clouds
136,Sao Sebastiao,-23.76,-45.4097,67.59,61,54,5.12,BR,broken clouds
137,Shelburne,44.0787,-80.2041,63.9,56,8,12.35,CA,clear sky
138,Ketchikan,55.3422,-131.6461,45.07,87,75,3.44,US,broken clouds
139,Cabo San Lucas,22.8909,-109.9124,87.62,69,0,4.61,MX,clear sky
140,Tokmak,47.2514,35.7058,47.61,65,100,1.1,UA,light rain
141,Ust-Nera,64.5667,143.2,-12.53,98,87,1.97,RU,overcast clouds
142,Berdigestyakh,62.0989,126.6992,17.76,97,100,3.98,RU,light snow
143,Urumqi,43.801,87.6005,40.15,65,0,2.24,CN,clear sky
144,Khatanga,71.9667,102.5,13.87,95,100,8.41,RU,overcast clouds
145,Dikson,73.5069,80.5464,26.11,93,100,6.13,RU,overcast clouds
146,Hilo,19.7297,-155.09,75.61,96,100,8.05,US,very heavy rain
147,Hobart,-42.8794,147.3294,46.26,79,40,4.61,AU,scattered clouds
148,Fare,-16.7,-151.0167,76.44,83,100,21.18,PF,moderate rain
149,Ayan,56.45,138.1667,24.26,68,100,18.57,RU,overcast clouds
150,Andenes,69.3143,16.1194,44.92,81,75,6.91,NO,broken clouds
151,Guadix,37.2993,-3.1392,57.45,58,100,3.83,ES,overcast clouds
152,Hovd,48.0056,91.6419,24.66,79,93,0.96,MN,overcast clouds
153,Kaitangata,-46.2817,169.8464,48.56,66,14,8.37,NZ,few clouds
154,Atuona,-9.8,-139.0333,77.22,78,0,12.41,PF,clear sky
155,Nome,64.5011,-165.4064,17.67,73,0,9.22,US,clear sky
156,Saint-Paul,-21.0096,55.2707,73.51,80,67,1.03,RE,broken clouds
157,Ahipara,-35.1667,173.1667,61.52,86,25,4.74,NZ,scattered clouds
158,Sola,-13.8833,167.55,79.59,72,12,5.14,VU,few clouds
159,Qaqortoq,60.7167,-46.0333,37.33,68,100,14.65,GL,light rain
160,Cherskiy,68.75,161.3,-23.35,97,8,4.07,RU,clear sky
161,Talnakh,69.4865,88.3972,15.57,92,100,12.77,RU,snow
162,North Bend,43.4065,-124.2243,49.06,93,75,10.36,US,broken clouds
163,Uusikaupunki,60.8004,21.4084,45.77,92,71,8.48,FI,broken clouds
164,Ilo,-17.6394,-71.3375,68.86,68,100,6.91,PE,overcast clouds
165,Canals,38.9625,-0.5844,71.58,54,80,14.45,ES,broken clouds
166,Imbituba,-28.24,-48.6703,65.84,67,57,8.66,BR,broken clouds
167,Phulabani,20.4667,84.2333,63.75,74,0,3.09,IN,clear sky
168,Lensk,60.7253,114.9278,10.35,92,100,7.4,RU,overcast clouds
169,Waipawa,-41.4122,175.5153,56.41,69,0,13.2,NZ,clear sky
170,Nikolskoye,59.7035,30.7861,33.8,93,95,2.8,RU,overcast clouds
171,Bathsheba,13.2167,-59.5167,86.61,70,40,16.11,BB,scattered clouds
172,Dudinka,69.4058,86.1778,16.03,81,100,20.92,RU,overcast clouds
173,Sivas,39.7916,37.0019,41.63,65,0,5.75,TR,clear sky
174,Jamestown,42.097,-79.2353,69.03,55,0,9.22,US,clear sky
